05-Nov-10

GOVERNMENT TRANSPARENCY AGENDA - HQLF TLB 'DOWN ASPECT' DATA SHEET



























Dept,Org,Unit,Comd,Div,Appt,Reporting SCS post reference,Grade,Payscale Minimum,Payscale Maximum,"Generic 
job title",Number of such posts in FTE
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,70.5
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,13
,,,,,,,NHS BAND 4,"?18,152.00","?21,798.00",,5
,,,,,,,NHS BAND 5,"?21,176.00","?27,534.00",,2
,,,,,,,NHS BAND 6,"?25,472.00","?34,189.00",,7.5
,,,,,,,PRINCIPAL LECTURER (RMAS/BRNC),"?47,942.00","?57,245.00",,2
,,,,,,,PROF OF MUSIC ENGLAND (ACADEMIC) (9617),"?49,216.00","?49,216.00",,11
,,,,,,,SCS PAY BAND 1,"?58,200.00","?117,750.00",,1
,,,,,,,SENIOR LECTURER (PCSPS),"?43,629.00","?43,629.00",,1
,,,,,,,SENIOR LECTURER (RMAS/BRNC),"?35,648.00","?42,565.00",,22
,,,,,,,SENIOR LECTURER (RMCS/BRNC),"?35,648.00","?42,565.00",,15
,,,,,,,SENIOR MEDICAL OFFICER,"?73,636.00","?80,494.00",,4
,,,,,,,SKILL ZONE 1,"?14,644.00","?16,482.00",,102.5
,,,,,,,SKILL ZONE 2,"?16,002.00","?18,010.00",,311.5
,,,,,,,SKILL ZONE 3,"?17,486.00","?18,551.00",,260
,,,,,,,SKILL ZONE 4,"?22,150.00","?24,930.00",,39
,,,,,,,SOULBURY TIER 6,"?39,079.00","?48,503.00",,3
,,,,,,,TECHNICAL TUPE - PAY BAND C2,"?18,157.00","?43,000.00",,30
,,,,,,,TECHNICAL TUPE - PAY BAND D,"?11,000.00","?36,000.00",,44.5
,,,,,,,Total,,,,3293

MOD,MOD,LF TLB,FDT,,Comdt RMAS,1147829,OF5,"?81,310.00","?89,408.00",College Comd,2
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",8
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",38
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",49
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,0
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",20
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",28
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",100
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,54
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,27
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,42
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,46
,,,,,,,Total,,,,414

MOD,MOD,LF TLB,PSC,,AG/Comd PSC,1591920,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00",MA to Comd PSC,1
,,,,,,,OF3,"?47,760.00","?57,200.00",,0
,,,,,,,OF2,"?37,916.00","?45,090.00",ADC to Comd PSC,1
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",PA to Comd Fd Army,1
,,,,,,,OR4,"?26,405.00","?33,182.00",Driver,1
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,4

,,,,,,,AREA OFFICER SOCIAL WORKER (NPFS),"?47,942.00","?57,245.00",,1
,,,,,,,BAND B1,"?56,436.00","?69,409.00",,2
,,,,,,,BAND B2,"?47,942.00","?57,245.00",,5
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,33
