05-Nov-10

GOVERNMENT TRANSPARENCY AGENDA - HQLF TLB 'DOWN ASPECT' DATA SHEET



























Dept,Org,Unit,Comd,Div,Appt,Reporting SCS post reference,Grade,Payscale Minimum,Payscale Maximum,"Generic 
job title",Number of such posts in FTE
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,10

MOD,MOD,LF TLB,PSC,CHAPS,Deputy Chaplain General,1600451,OF5,"?81,310.00","?89,408.00",ACG Trg,1
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,1
,,,,,,,OF3,"?47,760.00","?57,200.00",SO3,1
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,3

MOD,MOD,LF TLB,PSC,Pers,D Staff and Personnel Support (Army),1603496,OF5,"?81,310.00","?89,408.00",AD,2
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,5
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,9
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,2
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",4
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,22

MOD,MOD,LF TLB,PSC,Pers,D Educational and Training Services (Army),1187164,OF5,"?81,310.00","?89,408.00",AD,3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,3
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,11
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,2
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,19

MOD,MOD,LF TLB,PSC,Pers,D Army Personnel Strategy,1603207,OF5,"?81,310.00","?89,408.00",AD,3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,2
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,1
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,6

MOD,MOD,LF TLB,PSC,Pers,D Manning (Army),1602797,OF5,"?81,310.00","?89,408.00",AD,3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,4
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,7
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,1
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",3
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",4
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",Mil Clerk,1
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,23

MOD,MOD,LF TLB,PSC,Pers,D Personnel Services (Army),1603179,OF5,"?81,310.00","?89,408.00",AD,6
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,8
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,13
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,1
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",Staff Assistant,1
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,29

MOD,MOD,LF TLB,PSC,DMS,Deputy Military Secretary,1224948,OF5,"?81,310.00","?89,408.00",AD,9
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,43
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,61
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,4
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",7
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",6
,,,,,,,OR7,"?33,223.00","?42,044.00",Staff Sergeant,1
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",6
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",Mil Clerk,1
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,138

MOD,MOD,LF TLB,PSC,2 Div,Comd 15 (NE) Bde,1253061,OF5,"?81,310.00","?89,408.00",Garrison Comd,1
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,1
,,,,,,,OF3,"?47,760.00","?57,200.00","COS, DCOS, SO3",28
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,14
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",19
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Technical Warrant Officer",46
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant, Mil Slerk",37
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",45
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",11
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",15
,,,,,,,OR2,"?17,015.00","?26,405.00","Mil Clerk, Private",12
,,,,,,,Total,,,,229

MOD,MOD,LF TLB,PSC,2 Div,Comd 38 (Irish) Bde,1459738,OF5,"?81,310.00","?89,408.00","Dep Comd, Garrison Comd",2
,,,,,,,OF4,"?67,032.00","?77,617.00","SO1, JRLO",5
,,,,,,,OF3,"?47,760.00","?57,200.00","COS, DCOS, SO3",29
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,26
,,,,,,,OF1,"?24,615.00","?32,703.00","Tp/Pl Comd, Education Officer",15
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",12
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Technical Warrant Officer",33
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant, Mil Slerk",37
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",41
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",77
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",58
,,,,,,,OR2,"?17,015.00","?26,405.00","Mil Clerk, Private",55
,,,,,,,Total,,,,390

MOD,MOD,LF TLB,PSC,2 Div,Comd 42(NW) Bde,1168245,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,1
,,,,,,,OF3,"?47,760.00","?57,200.00","COS, DCOS, SO3",15
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,13
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",11
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Technical Warrant Officer",33
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant, Mil Slerk",24
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",19
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",11
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",12
,,,,,,,OR2,"?17,015.00","?26,405.00",Private,12
,,,,,,,Total,,,,151

MOD,MOD,LF TLB,PSC,2 Div,Comd 51 (Scottish) Bde,1167292,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,1
,,,,,,,OF3,"?47,760.00","?57,200.00","COS, DCOS, SO3",22
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,13
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",17
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Technical Warrant Officer",35
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant, Mil Slerk",39
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",29
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",5
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",6
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,167

MOD,MOD,LF TLB,PSC,4 Div,Comd 2 (SE) Brigade,1167034,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","SO1, JRLO",2
,,,,,,,OF3,"?47,760.00","?57,200.00","COS, DCOS, SO3",24
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,26
,,,,,,,OF1,"?24,615.00","?32,703.00","Tp/Pl Comd, Education Officer",7
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",10
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Technical Warrant Officer",28
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant, Mil Slerk",22
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",47
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",30
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",26
,,,,,,,OR2,"?17,015.00","?26,405.00","Mil Clerk, Private",26
,,,,,,,Total,,,,248

,,,,LEC,,,LEC,,,,261

MOD,MOD,LF TLB,PSC,4 Div,Comd 43 (Wx) Bde,1168553,OF5,"?81,310.00","?89,408.00",Dep Comd,1
,,,,,,,OF4,"?67,032.00","?77,617.00","SO1, JRLO",3
,,,,,,,OF3,"?47,760.00","?57,200.00","COS, DCOS, SO3",20
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,15
,,,,,,,OF1,"?24,615.00","?32,703.00","Tp/Pl Comd, Education Officer",8
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",18
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Technical Warrant Officer",25
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant, Mil Slerk",22
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",40
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",22
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",29
,,,,,,,OR2,"?17,015.00","?26,405.00","Mil Clerk, Private",36
,,,,,,,Total,,,,239

MOD,MOD,LF TLB,PSC,4 Div,Comd 145(S) Bde,1178769,OF5,"?81,310.00","?89,408.00",Dep Comd,1
,,,,,,,OF4,"?67,032.00","?77,617.00","SO1, JRLO",2
,,,,,,,OF3,"?47,760.00","?57,200.00","COS, DCOS, SO3",16
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,12
,,,,,,,OF1,"?24,615.00","?32,703.00","Tp/Pl Comd, Education Officer",6
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",17
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Technical Warrant Officer",19
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant, Mil Slerk",21
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",33
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",27
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",36
,,,,,,,OR2,"?17,015.00","?26,405.00","Mil Clerk, Private",49
,,,,,,,Total,,,,239

MOD,MOD,LF TLB,PSC,5 Div,Comd 49 (E) Brigade,1168742,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","SO1, JRLO",2
,,,,,,,OF3,"?47,760.00","?57,200.00","COS, DCOS, SO3",17
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,14
,,,,,,,OF1,"?24,615.00","?32,703.00","Tp/Pl Comd, Education Officer",1
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",13
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Technical Warrant Officer",27
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant, Mil Slerk",26
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",31
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",9
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",14
,,,,,,,OR2,"?17,015.00","?26,405.00","Mil Clerk, Private",12
,,,,,,,Total,,,,166

MOD,MOD,LF TLB,PSC,5 Div,Comd 143 (WM) Bde,1168111,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00",,0
,,,,,,,OF3,"?47,760.00","?57,200.00","COS, DCOS, SO3",15
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,14
,,,,,,,OF1,"?24,615.00","?32,703.00","Tp/Pl Comd, Education Officer",2
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",10
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Technical Warrant Officer",27
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant, Mil Slerk",20
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",22
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",2
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",4
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,116

MOD,MOD,LF TLB,PSC,5 Div,Comd 160 (Wales) Brigade,1168154,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00",,0
,,,,,,,OF3,"?47,760.00","?57,200.00","COS, DCOS, SO3",18
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,12
,,,,,,,OF1,"?24,615.00","?32,703.00","Tp/Pl Comd, Education Officer",2
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",11
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Technical Warrant Officer",34
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant, Mil Slerk",24
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",14
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",4
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",5
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,124

MOD,MOD,LF TLB,PSC,LOND,Deputy Comd London District,1146077,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit Comd, SO1",6
,,,,,,,OF3,"?47,760.00","?57,200.00","COS, DCOS, SO3",42
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,92
,,,,,,,OF1,"?24,615.00","?32,703.00","Tp/Pl Comd, Education Officer",51
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",21
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Technical Warrant Officer",89
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant, Mil Slerk",115
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",237
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",430
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",601
,,,,,,,OR2,"?17,015.00","?26,405.00",Private,1557
,,,,,,,Total,,,,3241

MOD,MOD,LF TLB,PSC,UKSC,D British Forces Germany Health Service,1523140,OF5,"?81,310.00","?89,408.00","Dep Comd, COS, AD",7
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,8
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,6
,,,,,,,OF2,"?37,916.00","?45,090.00","SO3, ADC",4
,,,,,,,OF1,"?24,615.00","?32,703.00","Pl/Tp Comd, Education Officer",16
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",0
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Technical Warrant Officer",9
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant, Mil Slerk",3
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",20
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",26
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",1
,,,,,,,OR2,"?17,015.00","?26,405.00",Private,0
,,,,,,,Total,,,,100

MOD,MOD,LF TLB,PSC,UKSC,Comd Germany Support Group,1225305,OF5,"?81,310.00","?89,408.00",COS,1
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,3
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,37
,,,,,,,OF2,"?37,916.00","?45,090.00","SO3, ADC",24
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",5
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Technical Warrant Officer",17
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant, Mil Slerk",6
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",19
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",18
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",13
,,,,,,,OR2,"?17,015.00","?26,405.00",Private,16
,,,,,,,Total,,,,159

MOD,MOD,LF TLB,ARRC,HQ,Chief Pers and Log HQ ARRC,1258926,OF5,"?81,310.00","?89,408.00","ACOS Ops, Chief Med, Provost Marshal",3
,,,,,,,OF4,"?67,032.00","?77,617.00","DACOS, SO1, Chaplain",5
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,17
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,7
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Movement Control, Mil Clerk, Warrant Officer Technical",3
,,,,,,,OR8,"?36,049.00","?43,252.00",Mil Clerk,2
,,,,,,,OR7,"?33,223.00","?42,044.00",Mil Clerk,1
,,,,,,,OR6,"?30,013.00","?36,929.00",Mil Clerk,1
,,,,,,,OR4,"?26,405.00","?33,182.00",Mil Clerk,6
,,,,,,,OR3,"?20,582.00","?28,939.00",Mil Clerk,1
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,46

MOD,MOD,LF TLB,ARRC,HQ,Chief Joint Fires & Influence Branch HQ ARRC,1257781,OF5,"?81,310.00","?89,408.00","Chief Air, Chief GLE, Chief LEGAD",3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,5
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,12
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,2
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",Chief Clerk,2
,,,,,,,OR7,"?33,223.00","?42,044.00","ASM, Technical Warrant Officer",4
,,,,,,,OR6,"?30,013.00","?36,929.00","Coord, Mil Clerk",2
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",Mil Clerk,2
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,32

MOD,MOD,LF TLB,ARRC,HQ,Chief Engineer HQ ARRC,1258544,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,2
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,7
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,3
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",Engineer Intelligence Warrant Officer,1
,,,,,,,OR7,"?33,223.00","?42,044.00","Terrain Analyst, Mil Clerk",2
,,,,,,,OR6,"?30,013.00","?36,929.00","Geo Spec, Mil Clerk",2
,,,,,,,OR4,"?26,405.00","?33,182.00","Terrain Analyst, Mil Clerk",5
,,,,,,,OR3,"?20,582.00","?28,939.00",Mil Clerk,1
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,23

MOD,MOD,LF TLB,ARRC,HQ,Ch G7 Trg & Dev HQ ARRC,1257340,OF5,"?81,310.00","?89,408.00",ACOS G7,1
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,2
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,7
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,2
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",Mil Clerk,1
,,,,,,,OR4,"?26,405.00","?33,182.00",Mil Clerk,2
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,15

Civil Service,,,,,,,,,,,
MOD,MOD,LF TLB,,,Non Executive Manager,187570,No civilian direct reports to this post,,,,

MOD,MOD,LF TLB,,,Non Executive Manager,185846,No civilian direct reports to this post,,,,

MOD,MOD,LF TLB,,,Land Forces Command Secretary (Resources),126369,BAND D,"?23,427.00","?27,973.00",Secretariel,1
,,,,,,,Total,,,,1

MOD,MOD,LF TLB,,,Land Forces Deputy Command Secretary (Resources and Commercial),126370,BAND B1,"?56,436.00","?69,409.00","Commerical Operations, Financial Decision Support",5
,,,,,,,BAND B2,"?47,942.00","?57,245.00",Programme Management,1
,,,,,,,BAND E1,"?17,835.00","?20,676.00","Admin Support, Secretarial",4
,,,,,,,Total,,,,10

MOD,MOD,LF TLB,,,Land Forces Command Secretary (Secretariat),39784,BAND B1,"?56,436.00","?69,409.00",Human Resources Leader,1
,,,,,,,BAND C2,"?29,258.00","?34,936.00",Secretariat and Private Office,1
,,,,,,,Total,,,,2

MOD,MOD,LF TLB,,,Land Forces Deputy Command Secretary (Secretariat),165443,BAND B1,"?56,436.00","?69,409.00",Secretariat & Private Office,1
,,,,,,,BAND B2,"?47,942.00","?57,245.00","Secretariat & Private Office, Business Management",2
,,,,,,,BAND E1,"?17,835.00","?20,676.00",Secretarial,1
,,,,,,,Total,,,,4

MOD,MOD,LF TLB,,,DYRMS Academy Project Business Manager 1,179104,No civilian direct reports to this post,,,,

MOD,MOD,LF TLB,,,DYRMS Academy Project Business Manager 2,179105,No civilian direct reports to this post,,,,

MOD,MOD,LF TLB,,,DYRMS Academy Project Leader,185635,BAND C1,"?35,648.00","?42,565.00",Project Management,2
,,,,,,,BAND E1,"?17,835.00","?20,676.00",Secretarial,1
,,,,,,,Total,,,,3

MOD,MOD,LF TLB,,,Director Recruit Training,37389,BAND B1,"?56,436.00","?69,409.00","Commercial Operations, Business Management",2
,,,,,,,BAND B2,"?47,942.00","?57,245.00","Project Management, Civilian Human Resources",2
,,,,,,,BAND C1,"?35,648.00","?42,565.00",Project Management,1
,,,,,,,Total,,,,5

MOD,MOD,LF TLB,,,Director Whole Fleet Management,38070,No civilian direct reports to this post,,,,

MOD,MOD,LF TLB,,,Chief Executive Service Children's  Education,43851,Head Teacher,"?42,379.00","?86,365.00",Teaching and leadership,2
,,,,,,,BAND B1,"?56,436.00","?69,409.00",Business Management,1
,,,,,,,BAND B2,"?47,942.00","?57,245.00",Teaching Advice/Inspection,1
,,,,,,,BAND E1,"?17,835.00","?20,676.00",Secretarial,1
,,,,,,,Total,,,,5

,,,,LEC,,,LEC,,,,637

MOD,MOD,LF TLB,,,Chair Safeguarding Board,190143,No civilian direct reports to this post,,,,

MOD,MOD,LF TLB,,,Programme Team Leader BORONA,167011,BAND B1,"?56,436.00","?69,409.00",Project Management,1
,,,,,,,Total,,,,1

MOD,MOD,LF TLB,,,Project Manager Allenby/Connaught,126455,BAND B1,"?56,436.00","?69,409.00",Business Management,1
,,,,,,,BAND B2,"?47,942.00","?57,245.00","Financial Decision Support, Project Management",1
,,,,,,,BAND C1,"?35,648.00","?42,565.00",Project Management,1
,,,,,,,BAND E1,"?17,835.00","?20,676.00",Admin Support,1
,,,,,,,Total,,,,4

MOD,MOD,LF TLB,,,Director Legal Services (Germeny),125818,BAND B1,"?56,436.00","?69,409.00",Legal Services,1
,,,,,,,Total,,,,1
