Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,28-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1026921," 120,109.44 ",
FCO,FCO,15-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1025987," 112,301.98 ",
FCO,FCO,15-Sep-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1025987," 22,460.40 ",
FCO,FCO,01-Sep-11,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,WORLD RESOURCES INSTITUTE,5000062," 33,390.00 ",
FCO,FCO,06-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1025410," 149,571.39 ",
FCO,FCO,06-Sep-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1025410," 29,914.28 ",
FCO,FCO,06-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1025410,"-149,571.39 ",
FCO,FCO,06-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1025410," 149,571.00 ",
FCO,FCO,06-Sep-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1025410,-0.08 ,
FCO,FCO,12-Sep-11,Water Non-Residential,DG POLITICAL,PLAZA TOWER LLC,40000004023," 19,358.89 ",
FCO,FCO,12-Sep-11,Electricity Non-Residential,DG POLITICAL,PLAZA TOWER LLC,40000004023," 3,687.97 ",
FCO,FCO,12-Sep-11,Property Maintenance Overseas Non Residential,DG POLITICAL,PLAZA TOWER LLC,40000004023, 60.96 ,
FCO,FCO,20-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,BRICKELL BAY TOWER LTD,40000004053," 75,644.68 ",
FCO,FCO,27-Sep-11,Telephone Call Charges,DG CENTRAL GROUP,GLOBAL CROSSING,1026763," 42,353.49 ",
FCO,FCO,27-Sep-11,Telephone Call Charges,DG CENTRAL GROUP,GLOBAL CROSSING,1026763," 8,470.70 ",
FCO,FCO,01-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1025164," 60,905.00 ",
FCO,FCO,01-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1025164," 1,295,846.54 ",
FCO,FCO,01-Sep-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1025164," 271,350.31 ",
FCO,FCO,02-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1025265," 35,000.00 ",
FCO,FCO,02-Sep-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1025265," 7,000.00 ",
FCO,FCO,01-Sep-11,UKBA Visa Income Creditor Control,NON CASH & UNALLOCATED COSTS,HOME OFFICE,4000691," 129,454,239.00 ",
FCO,FCO,01-Sep-11,UKBA Visa Expenditure Debtor Control,NON CASH & UNALLOCATED COSTS,HOME OFFICE,4000691,"-40,884,149.00 ",
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791, 540.00 ,
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791," 3,010.46 ",
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791," 1,296.00 ",
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791," 16,746.67 ",
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791," 2,074.87 ",
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791," 1,982.57 ",
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791, 470.00 ,
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791," 1,080.11 ",
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791, 540.48 ,
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791, 395.01 ,
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791, 756.07 ,
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791, 535.61 ,
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791," 1,369.85 ",
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791," 6,944.88 ",
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791," 2,505.14 ",
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791," 72,530.63 ",
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791, 600.00 ,
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791," 38,568.54 ",
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791, 670.60 ,
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791," 4,328.42 ",
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791, 996.69 ,
FCO,FCO,28-Sep-11,Home Office Visa Fees: Post Collection-Payment In UK,DG CHANGE & DELIVERY,HOME OFFICE,4000791," 2,920.36 ",
