Minister,Date,Name of External Organisation*,Purpose of meeting
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Mar-11,North West Fund,To discuss ERDF Financial Instruments
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Mar-11,London Borough of Barnet,Local Productivity programme
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Mar-11,South East Strategic Leaders,Transparency
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Mar-11,Cllr Stephen Greenhalgh & George Garlick,Workstream leads on Place-Based Productivity
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Mar-11,Cllr Lucas & Baroness Eaton,To discuss DCLG research report on domestic violence services
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Mar-11,Baroness Eaton & Lord Adebowale,To discuss Local Integrated Services
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Mar-11,Speech Estate & Property Efficiency conference,An Efficient Property Strategy in the Public Sector’
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Mar-11,"Lord Filkin, Rob Whiteman, Helen Bailey & Andrew Smith",Local Government Supply costs

"*Does not normally include meetings with Government bodies such as other Government Departments and Agencies, non-departmental public bodies, Government reviewers, and representatives of devolved or foreign governments.",,,
