Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Capital Grants - Other,"Business Group - Solutions for Business, Low Carbon & Services",UNIVERSITY OF SHEFFIELD,1007950,597.58
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Capital Grants - Other,"Business Group - Solutions for Business, Low Carbon & Services",UNIVERSITY OF SHEFFIELD,1007950,642181
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Car Hire and Leasing,Fair Markets Group Summary - ECO,ARVAL (UK) LTD,1007852,-366.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Car Hire and Leasing,"Legal, People & Communications Group - Legal",ARVAL (UK) LTD,1005853,-51.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Car Hire and Leasing,"Legal, People & Communications Group - Legal",ARVAL (UK) LTD,1005855,706.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1006043,-223
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1006038,-31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1005990,-27.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1006043,-0.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1007640,505.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1007636,608.58
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1005996,624.71
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Car Hire and Leasing,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,GOVERNMENT CAR AND DESPATCH AGENCY,1006539,5746.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Car Hire and Leasing,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,GOVERNMENT CAR AND DESPATCH AGENCY,1006541,5746.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Cash CFERs paid over to HMT,Corporate Payments,ISLE OF MAN GOVERNMENT,1006861,259248
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Cash CFERs paid over to HMT,Corporate Payments,STATES OF GUERNSEY,1006862,220945
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Cash CFERs paid over to HMT,Corporate Payments,STATES OF JERSEY,1006863,351199
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Cash Expenditure during the Year - Other Programme Provisions,Finance & Commercial Group - Finance Group,SIR CHRISTOPHER STAUGHTON,1007771,641
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Catering Services,Finance & Commercial Group - Information and Workplace Strategies,BAXTERSTOREY LTD,1007576,13844.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Catering Services,Finance & Commercial Group - Information and Workplace Strategies,BAXTERSTOREY LTD,1006175,45613.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Catering Services,Office of Manpower Economics - Office of Manpower Economics,EDEN SPRINGS UK LTD,1004325,-15.71
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Catering Services,Shareholder Executive - Shareholder Executive,LEITHS AT THE CENTRE,1007387,-1725.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Catering Services,Shareholder Executive - Shareholder Executive,LEITHS AT THE CENTRE,1007387,1715.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Catering Services,Shareholder Executive - Shareholder Executive,LEITHS AT THE CENTRE,1007387,1725.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,BIRD & BIRD,1007383,561.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,BT CONFERENCING,1007483,48622.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005516,-5717.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005619,5000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005516,5713.48
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005516,5717.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006174,7149.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005619,7487.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005521,13383.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006206,17120.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005512,18962.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006162,20853.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005516,48175
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1007665,5860.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1007327,7567
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1005313,12167.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1007662,12167.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1007325,20634.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1007453,27684.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1005315,99847.39
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,METHODS CONSULTING LTD,1005947,16655.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,METHODS CONSULTING LTD,1006298,23391.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1006005,3536.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1007719,7208.27
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1005998,9094.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1005966,9562.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Conference and Exhibition Services,SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),1005295,608.91
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Conference and Exhibition Services (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007061,-6732
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Conference and Exhibition Services (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007059,6732
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Conference and Exhibition Services (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007061,6732
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Conference and Exhibition Services (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007061,6732
