Communities & Local Government,DCLG,14/02/2011,IT Maintenance,Finance & Corporate Services,AIMEDIACOMMS,5106157072,"1,101.60",
Communities & Local Government,DCLG,14/02/2011,Legal Consultancy,Neighbourhoods,HAMMONDS,5106157021,675,
Communities & Local Government,DCLG,14/02/2011,Legal Fees,Finance & Corporate Services,TREASURY SOLICITOR,2100200042,"20,000.00",
Communities & Local Government,DCLG,14/02/2011,Management Consultancy,Localism,ACTICA CONSULTING LTD,5106157064,"9,544.40",
Communities & Local Government,DCLG,14/02/2011,Miscellaneous Legal Costs,Neighbourhoods,TREASURY SOLICITORS DEPT,2100200035,"2,000.00",
Communities & Local Government,DCLG,14/02/2011,Office Machinery (<£5000),Finance & Corporate Services,DANWOOD GROUP LTD,5106157078,461.6,
Communities & Local Government,DCLG,14/02/2011,Office Supplies,Neighbourhoods,BANNER BUSINESS SUPPLIES LTD,5106157068,"1,041.40",
Communities & Local Government,DCLG,14/02/2011,Publications,Localism,NETFUNDI LTD,5106157080,"6,120.00",
Communities & Local Government,DCLG,14/02/2011,Publications,Neighbourhoods,SWETS INFORMATION SERVICES LTD,5106156763,595.53,
Communities & Local Government,DCLG,14/02/2011,Publicity,Finance & Corporate Services,PRESS ASSOCIATION,5106156658,"1,145.46",
Communities & Local Government,DCLG,14/02/2011,Publishing,Finance & Corporate Services,TUDORSEED LIMITED,5106156978,990,
Communities & Local Government,DCLG,14/02/2011,Publishing,Finance & Corporate Services,TUDORSEED LIMITED,5106156979,820,
Communities & Local Government,DCLG,14/02/2011,Removals and Porterage,Neighbourhoods,GREATER LONDON AUTHORITY,5106157015,"12,098.63"
Communities & Local Government,DCLG,14/02/2011,Research,Localism,FIRE SERVICE COLLEGE,5106154619,"39,150.00"
Communities & Local Government,DCLG,14/02/2011,Research,Localism,FIRE SERVICE COLLEGE,5106154908,"3,095.00"
Communities & Local Government,DCLG,14/02/2011,Steady State Service Provision,Neighbourhoods,ECONOMIC & SOCIAL RESEARCH CNCL,5106156995,"64,514.36"
Communities & Local Government,DCLG,14/02/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,DAMOVO UK LTD,5106157084,"4,418.20"
Communities & Local Government,DCLG,14/02/2011,Training,Finance & Corporate Services,DCLG GOVERNMENT PROCUREMENT CARD,1000002928,"1,600.00"
Communities & Local Government,DCLG,14/02/2011,Training,Finance & Corporate Services,FITZGIBBON ASSOCIATES,5106156909,"2,125.00"
Communities & Local Government,DCLG,14/02/2011,Training,Neighbourhoods,FARADAY PARTNERSHIP LTD,5106157029,"1,320.00"
Communities & Local Government,DCLG,14/02/2011,Training,Neighbourhoods,NATIONAL SCHOOL OF GOVERNMENT,5106156988,980
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Finance & Corporate Services,GOVERNMENT CAR & DESPATCH AGENCY,5106155999,"2,062.13"
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,2100200040,338.17
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,2100200041,51.47
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,2100200041,47.37
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,2100200041,206.62
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,2100200041,336.64
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,2100200041,15.65
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,2100200041,"1,192.00"
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,LONDON FIRE & EMERG PLANNING AUTH,5106157088,91
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,402.08
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,567.35
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,605.55
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,123.37
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,23.34
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,116.07
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,70.86
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,29.23
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,"2,821.97"
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,46.42
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,671
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,251.95
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,121.86
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,20.92
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,201.74
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,66.62
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,"2,450.36"
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,25.67
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,219.09
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,334.75
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,"1,717.76"
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,295.77
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,131.62
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,56.77
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,33.04
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,2100200041,"1,113.45"
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Localism,WEST YORKSHIRE FIRE & RESCUE AUTHOR,5106157086,325.25
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,2100200040,571.15
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,2100200040,"2,009.53"
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,2100200040,187
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,2100200041,197.7,
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,2100200041,10.8,
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,2100200041,74.96,
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,2100200041,98.55,
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,2100200041,96.23,
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,2100200041,"2,223.51",
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,2100200041,222.66,
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,2100200041,130.16,
Communities & Local Government,DCLG,14/02/2011,Travel and Subsistence Account,Strategic Performance Team,REDFERN TRAVEL LIMITED,2100200041,346.39,
Communities & Local Government,DCLG,14/02/2011,Vehicle hire,Finance & Corporate Services,GOVERNMENT CAR & DESPATCH AGENCY,5106155990,"1,245.00",
Communities & Local Government,DCLG,14/02/2011,Web Services,Finance & Corporate Services,TUDORSEED LIMITED,5106156992,"6,545.71",
Communities & Local Government,DCLG,15/02/2011,AME Subsidy CFER,Neighbourhoods,LONDON BOROUGH OF LAMBETH,5000144992,"-1,000,197.00",Yes
Communities & Local Government,DCLG,15/02/2011,AME Subsidy CFER,Neighbourhoods,NOTTINGHAM CITY COUNCIL,5000141485,"-1,034,560.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,ADUR DC,5000153329,"3,243.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,ALLERDALE BC,5000153330,"2,969.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,AMBER VALLEY BC,5000153331,"7,805.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,ARUN DC,5000153176,"12,353.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,ASHFIELD DC,5000153332,"87,651.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,ASHFORD BC,5000153177,"8,136.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,AYLESBURY VALE (HSG),5000153178,"14,656.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BABERGH DC,5000153179,"3,302.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BARKING & DAGENHAM LB (HSG),5000153181,"1,636,791.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BARNET LBC,5000153334,"1,707,636.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BARNSLEY MBC,5000153335,"1,951,488.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BARROW BC,5000153336,"238,421.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BASILDON DISTRICT COUNCIL,5000153337,"12,404.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BASINGSTOKE & DEANE BC,5000153338,"3,111.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BASSETLAW DC (HSG),5000153182,"32,718.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BATH & NE SOMERSET DC (HSG),5000153183,"858,449.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BEDFORD UNITARY AUTHORITY,5000153591,"960,521.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BEXLEY LB (HSG),5000153184,"1,032,098.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BIRMINGHAM CITY CNCL,5000153339,"11,765,102.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BLABY DC (HSG),5000153185,"2,965.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BLACKBURN WITH DARWEN BC,5000153342,"2,052,403.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BLACKPOOL BC,5000153345,"1,911,698.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BOLSOVER DC,5000153346,"200,424.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BOLTON MBC,5000153347,"2,560,928.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BOSTON BC,5000153186,"23,918.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BOURNEMOUTH DC,5000153348,"1,381,359.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BRACKNELL FOREST DC,5000153349,"474,329.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BRADFORD MBC,5000153351,"5,199,202.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BRAINTREE DC,5000153187,"3,069.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BRECKLAND DC,5000153188,"20,249.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BRENT LB (HSG),5000153191,"2,204,731.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BRENTWOOD BC,5000153352,"3,267.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BRIGHTON & HOVE CITY COUNCIL,5000153353,"1,887,778.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BRISTOL CITY CNCL (HSG),5000153192,"3,764,827.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BROADLAND DC,5000153193,"3,031.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BROMLEY LB,5000153354,"1,304,143.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BROMSGROVE DC,5000153194,"2,963.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BROXBOURNE BC,5000153355,"2,957.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BROXTOWE BC,5000153356,"3,355.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BUCKINGHAMSHIRE CC,5000153357,"1,816,249.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,BURNLEY BC,5000153358,"240,218.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CALDERDALE MBC,5000153360,"1,290,931.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CAMBRIDGE CITY COUNCIL,5000153361,"14,886.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CAMBRIDGESHIRE COUNTY CNCL,5000153362,"2,586,386.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CAMDEN LB,5000153363,"3,690,680.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CANNOCK CHASE DC,5000153364,"3,319.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CANTERBURY CITY CNCL,5000153195,"6,602.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CARLISLE CITY CNCL,5000153196,"7,768.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CASTLE POINT BC,5000153365,"3,306.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CENTRAL BEDFORDSHIRE COUNCIL,5000153588,"971,382.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CHARNWOOD BC,5000153366,"13,153.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CHELMSFORD BC,5000153367,"3,120.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CHELTENHAM BC,5000153368,"3,357.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CHERWELL DC,5000153197,"7,844.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CHESHIRE EAST COUNCIL,5000153589,"1,863,542.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CHESHIRE WEST & CHESTER COUNCIL,5000153590,"1,816,270.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CHESTERFIELD BC,5000153369,"126,711.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CHICHESTER DC,5000153198,"3,001.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CHILTERN DC (HSG),5000153199,"2,960.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CHORLEY DC,5000153370,"2,990.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CHRISTCHURCH BC (HSG),5000153200,"2,859.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CITY OF LINCOLN COUNCIL,5000153454,"8,083.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CITY OF LONDON (HSG),5000153201,"122,830.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CITY OF SUNDERLAND (HSG),5000153203,"2,994,693.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CITY OF WAKEFIELD MDC,5000153551,"1,746,656.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,COLCHESTER BC,5000153371,"3,488.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,COPELAND BC,5000153205,"78,054.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CORBY BC,5000153206,"20,437.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CORNWALL UNITARY AUTHORITY,5000153593,"3,240,128.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,COTSWOLD DC,5000153207,"2,944.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,COVENTRY CITY CNCL,5000153372,"2,564,064.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CRAVEN DC (HSG),5000153208,"7,662.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CRAWLEY BC,5000153209,"23,768.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CROYDON LB,5000153375,"2,523,874.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,CUMBRIA COUNTY CNCL,5000153376,"2,820,770.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,DACORUM BC,5000153377,"3,416.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,DARLINGTON BC,5000153378,"737,773.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,DARTFORD BC,5000153210,"8,088.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,DAVENTRY DC,5000153211,"2,934.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,DERBY CITY CNCL,5000153381,"1,834,284.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,DERBYSHIRE COUNTYCOUNCIL,5000153382,"3,993,565.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,DERBYSHIRE DALES DC,5000153212,"2,914.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,DEVON COUNTY CNCL,5000153383,"4,286,412.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,DONCASTER MBC,5000153384,"3,081,154.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,DORSET COUNTY CNCL,5000153388,"1,972,491.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,DOVER DC,5000153213,"15,878.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,DUDLEY MBC,5000153389,"1,618,107.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,DURHAM UNITARY AUTHORITY,5000153594,"4,628,103.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EALING LB,5000153390,"1,936,978.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EAST CAMBRIDGESHIRE DC,5000153214,"2,937.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EAST DEVON DC,5000153215,"3,400.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EAST DORSET DC,5000153391,"2,948.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EAST HAMPSHIRE DC,5000153216,"3,004.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EAST HERTFORDSHIRE DC,5000153217,"3,054.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EAST LINDSEY DC,5000153218,"3,067.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EAST NORTHAMPTONSHIRE COUNCIL,5000153219,"2,946.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EAST RIDING OF YORKS (HSG),5000153220,"1,666,909.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EAST STAFFORDSHIRE BC,5000153221,"23,436.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EAST SUSSEX COUNTY CNCL,5000153392,"2,812,101.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EASTBOURNE BC,5000153393,"3,320.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EASTLEIGH BOROUGH COUNCIL,5000153394,"3,023.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EDEN DC (HSG),5000153222,"2,874.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,ELMBRIDGE BC (HSG),5000153223,"3,047.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,ENFIELD LB,5000153395,"2,209,447.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EPPING FOREST DC,5000153396,"3,382.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EPSOM & EWELL BC,5000153397,"2,914.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EREWASH BC,5000153398,"7,784.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,ESSEX COUNTY CNCL,5000153399,"6,282,478.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,EXETER CITY CNCL,5000153400,"5,022.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,FAREHAM BC,5000153224,"3,350.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,FENLAND DC,5000153225,"53,486.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,FOREST HEATH DISTRICT COUNCIL,5000153226,"2,897.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,FOREST OF DEAN DC,5000153227,"2,941.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,FYLDE BC,5000153401,"2,927.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,GATESHEAD MBC,5000153402,"1,929,507.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,GEDLING BC,5000153403,"3,007.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,GLOUCESTER CITY CNCL,5000153404,"14,945.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,GLOUCESTERSHIRE COUNTY CNCL,5000153405,"3,687,316.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,GMRB,5000153359,"1,329,841.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,GOSPORT BOROUGH COUNCIL,5000153406,"8,062.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,GRAVESHAM BC,5000153407,"8,105.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,GREAT YARMOUTH BC,5000153409,"326,323.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,GREATER LONDON AUTHORITY (RSG),5000153580,"198,325.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,GREENWICH LB,5000153410,"2,410,990.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,GTR MANCHESTER PTA,5000153583,"28,123.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,GUILDFORD BC,5000153228,"3,405.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HALTON BC (HSG),5000153229,"1,661,308.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HAMBLETON DC (HSG),5000153230,"2,951.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HAMMERSMITH & FULHAM LB,5000153412,"1,781,424.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HAMPSHIRE COUNTY COUNCIL,5000153415,"5,764,107.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HARBOROUGH DC (HSG),5000153231,"2,941.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HARINGEY LB,5000153416,"3,327,428.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HARLOW DISTRICT COUNCIL,5000153418,"10,660.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HARROGATE BC,5000153232,"3,459.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HARROW LB,5000153419,"996,637.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HART DC,5000153420,"2,957.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HARTLEPOOL BOROUGH COUNCIL,5000153423,"1,208,043.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HASTINGS BC,5000153424,"278,560.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HAVANT BC,5000153426,"7,797.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HAVERING LB,5000153427,"921,080.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HEREFORDSHIRE COUNCIL,5000153233,"1,210,697.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HERTFORDSHIRE COUNTY CNCL,5000153428,"4,852,807.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HERTSMERE BC,5000153429,"11,894.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HIGH PEAK BC,5000153234,"3,314.00",Yes
Communities & Local Government,DCLG,15/02/2011,Area Based Grants,Localism,HILLINGDON LB,5000153430,"1,325,436.00",Yes
