Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Total
Ministry of Defence,Ministry of Defence,17/08/2011,Estate management,Central TLB,SODEXO LTD,M50 0AL,832974,728540.76
Ministry of Defence,Ministry of Defence,03/08/2011,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 9BS,827138,722161.16
Ministry of Defence,Ministry of Defence,11/08/2011,Rent and rates,Defence Infrastructure Organisation ,WILTSHIRE COUNCIL,BA14 4DS,830952,716098.31
Ministry of Defence,Ministry of Defence,05/08/2011,Estate management,Air Command,VT FLAGSHIP LTD,PO6 4PR,828773,715668.33
Ministry of Defence,Ministry of Defence,11/08/2011,Fees for professional services,Defence Equipment & Support,ALIXPARTNERS LTD,W1K 6WE,830399,713310
Ministry of Defence,Ministry of Defence,16/08/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,832089,700057.45
Ministry of Defence,Ministry of Defence,12/08/2011,Grants to NDPBs,Air Command,ROYAL AIR FORCE MUSEUM,NW9 5LL,831407,700000
Ministry of Defence,Ministry of Defence,18/08/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,THE MAERSK COMPANY LTD,NE1 2HJ,833650,698450
Ministry of Defence,Ministry of Defence,03/08/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,827531,694942.38
Ministry of Defence,Ministry of Defence,19/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,833761,678598
Ministry of Defence,Ministry of Defence,30/08/2011,Purchase of buildings - Non Dwellings,Navy Command,VT FLAGSHIP LTD,PO6 4PR,837776,677962.8
Ministry of Defence,Ministry of Defence,18/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,833194,677335.77
Ministry of Defence,Ministry of Defence,31/08/2011,Fees for professional services,Defence Equipment & Support,ALIXPARTNERS LTD,W1K 6WE,837818,677254.5
Ministry of Defence,Ministry of Defence,03/08/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000012352,673636.76
Ministry of Defence,Ministry of Defence,02/08/2011,Grants to NDPBs,Navy Command,THE NATIONAL MUSEUM OF THE ROYAL NAVY,PO1 3NH,827050,650000
