Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,14715.08
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,25910.03
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,36560.46
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,216004.31
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Navy Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,17263.26
Ministry of Defence,Ministry of Defence,14/05/2010,Design services and minor equipment purchases,Command Joint Operations,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,425.30
Ministry of Defence,Ministry of Defence,14/05/2010,Design services and minor equipment purchases,Defence Estates,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,2404.23
Ministry of Defence,Ministry of Defence,14/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,1133.84
Ministry of Defence,Ministry of Defence,14/05/2010,Design services and minor equipment purchases,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,324.01
Ministry of Defence,Ministry of Defence,14/05/2010,Design services and minor equipment purchases,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,25322.74
Ministry of Defence,Ministry of Defence,14/05/2010,Design services and minor equipment purchases,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,44679.24
Ministry of Defence,Ministry of Defence,17/05/2010,Payments on behalf of Defence Support Group,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,8839.29
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Command Joint Operations,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,19106.27
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Defence Estates,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,110857.72
