"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR9","38600","46753","RN","2","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058619","OF4","67032","77617","RAF","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058619","OF3","47760","57200","RN","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058619","OR4","26405","33182","Army","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058619","OR5-6","30013","36929","RAF","2","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058623","E1","18370","22124","Private Secretary","1","Human Resources"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058623","OF3","47760","57200","Army","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058623","OR5-6","30013","36929","RN","2","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OF2","37916","45090","Army","3","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OF3","47760","57200","Army","7","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OF4","67032","77617","Army","2","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OF5","81310","89408","Army","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OR4","26405","33182","Army","3","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OR5-6","30013","36929","Army","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OR7-8","33223","43252","Army","5","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","C1","35648","44268","HR Support Officer","1","Human Resources"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","D","23427","29092","HR Support Officer","1","Human Resources"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OF2","37916","45090","RAF","4","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OF3","47760","57200","RAF","3","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OF5","81310","89408","RAF","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OR1-3","17265","28940","RAF","2","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OR4","26405","33182","RAF","2","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OR5-6","30013","36929","RAF","3","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OR9","38600","46753","RAF","2","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OR4","26405","33182","RM","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OF2","37916","45090","RN","3","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OF3","47760","57200","RN","4","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OF4","67032","77617","RN","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OR7-8","33223","43252","RN","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058631","OR9","38600","46753","RN","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OF3","47760","57200","Army","12","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OF4","67032","77617","Army","7","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OF5","81310","89408","Army","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OR1-3","17265","28940","Army","4","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OR4","26405","33182","Army","3","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OR7-8","33223","43252","Army","4","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OR9","38600","46753","Army","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","C1","35648","44268","Operations Support Officer","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","C2","29258","36333","Operations Support Officer","2","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","D","23427","29092","Operations Support Officer","4","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","E1","18370","22124","Private Secretary","1","Human Resources"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OF2","37916","45090","RAF","5","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OF3","47760","57200","RAF","17","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OF4","67032","77617","RAF","5","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OF5","81310","89408","RAF","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OR1-3","17265","28940","RAF","10","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OR4","26405","33182","RAF","7","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OR5-6","30013","36929","RAF","8","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OR7-8","33223","43252","RAF","2","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OR9","38600","46753","RAF","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OF2","37916","45090","RM","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OF3","47760","57200","RM","2","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OF2","37916","45090","RN","3","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OF3","47760","57200","RN","14","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OF4","67032","77617","RN","6","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OF5","81310","89408","RN","2","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OR1-3","17265","28940","RN","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OR4","26405","33182","RN","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OR5-6","30013","36929","RN","3","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058635","OR7-8","33223","43252","RN","6","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058640","OF2","37916","45090","Army","6","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058640","OF3","47760","57200","Army","6","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058640","OF4","67032","77617","Army","7","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058640","OF5","81310","89408","Army","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058640","OR1-3","17265","28940","Army","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058640","OR4","26405","33182","Army","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058640","OR5-6","30013","36929","Army","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1058640","OR7-8","33223","43252","Army","8","Military"
