Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by Bank and is industry standard.  May not, however, give true indication of purchase - additional comment provided as necessary",,
27/02/12,Airlines,829.93,,,
27/02/12,Airlines,1544.33,,,
27/02/12,Airlines,1544.33,,,
27/02/12,Airlines,521.30,,,
27/02/12,Airlines,521.30,,,
27/02/12,Airlines,2064.61,,,
27/02/12,Airlines,2395.13,,,
28/02/12,Airlines,5181.73,,,
28/02/12,Airlines,615.12,,,
28/02/12,Airlines,1139.42,,,
28/02/12,Airlines,566.53,,,
28/02/12,Airlines,869.10,,,
28/02/12,Airlines,1476.33,,,
28/02/12,Airlines,2740.33,,,
28/02/12,Airlines,884.12,,,
28/02/12,Airlines,2510.33,,,
28/02/12,Airlines,837.93,,,
28/02/12,Airlines,837.93,,,
29/02/12,Airlines,1062.33,,,
29/02/12,Airlines,698.13,,,
29/02/12,Airlines,903.23,,,
29/02/12,Airlines,1859.68,,,
29/02/12,Airlines,1138.71,,,
29/02/12,Airlines,2482.43,,,
29/02/12,Airlines,3171.33,,,
29/02/12,Airlines,4153.13,,,
29/02/12,Airlines,1476.33,,,
29/02/12,Airlines,1533.46,,,
29/02/12,Airlines,1132.60,,,
29/02/12,Airlines,1368.33,,,
29/02/12,Airlines,935.26,,,
29/02/12,Airlines,-2950.03,,,
29/02/12,Airlines,-2950.03,,,
29/02/12,Airlines,2089.83,,,
29/02/12,Airlines,5731.43,,,
29/02/12,Airlines,5731.43,,,
29/02/12,Airlines,3661.76,,,
29/02/12,Airlines,596.73,,,
29/02/12,Airlines,2201.40,,,
29/02/12,Airlines,1986.30,,,
29/02/12,Airlines,1986.30,,,
29/02/12,Airlines,4282.43,,,
29/02/12,Airlines,1833.43,,,
29/02/12,Airlines,642.93,,,
29/02/12,Airlines,651.05,,,
29/02/12,Airlines,985.20,,,
01/02/12,Car Hire,2746.68,Transport for sponsored visit,,
02/02/12,Car Hire,2958.74,Transport for sponsored visit,,
08/02/12,Car Hire,3707.26,Transport for Guest of Government visit,,
08/02/12,Car Hire,1138.36,Transport for sponsored visit,,
08/02/12,Car Hire,2193.90,Transport for sponsored visit,,
08/02/12,Car Hire,5032.99,Transport for ministerial visit,,
10/02/12,Car Hire,701.31,,,
