Department family,Entity,Date,Expense type,Expense area,Supplier,Post Code,Transaction number,Total
Ministry of Defence,Ministry of Defence,13/07/2011,Payment of utilities,Land Forces,BRITISH GAS TRADING LIMITED,OX4 2JY,818692,"3,723.08"
Ministry of Defence,Ministry of Defence,04/07/2011,Payment of utilities,Air Command,PACE FUELCARE LIMITED,TW20 9AB,814183,"3,711.09"
Ministry of Defence,Ministry of Defence,20/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,821857,"3,683.44"
Ministry of Defence,Ministry of Defence,05/07/2011,"Transporation of personnel, freight and travel expenses",Air Command,CITYSPRINT (UK) LIMITED,RH1 1SH,814545,"3,671.98"
Ministry of Defence,Ministry of Defence,11/07/2011,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,818095,"3,636.72"
Ministry of Defence,Ministry of Defence,07/07/2011,"Transporation of personnel, freight and travel expenses",Air Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,816230,"3,624.05"
Ministry of Defence,Ministry of Defence,11/07/2011,Purchase of inventory and services ,Central TLB,XMA LTD,NG11 7EP,818095,"3,617.83"
Ministry of Defence,Ministry of Defence,18/07/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,820359,"3,610.72"
Ministry of Defence,Ministry of Defence,25/07/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,823806,"3,610.11"
Ministry of Defence,Ministry of Defence,12/07/2011,Externally delivered education and training,Land Forces,BABCOCK LAND LIMITED,BH23 9BS,818136,"3,610.09"
Ministry of Defence,Ministry of Defence,21/07/2011,Purchase of inventory and services ,Land Forces,NHS BUSINESS SERVICES AUTHORITY,ME16 0LW,2E+11,"3,588.00"
Ministry of Defence,Ministry of Defence,15/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000059483,"3,585.71"
Ministry of Defence,Ministry of Defence,13/07/2011,Administration,Central TLB,VEOLIA ES (UK) LIMITED,WS8 7BB,819173,"3,585.60"
Ministry of Defence,Ministry of Defence,06/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SUPPORT GROUP  (DSG),SP11 8HT,815572,"3,573.72"
Ministry of Defence,Ministry of Defence,25/07/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,823300,"3,573.22"
Ministry of Defence,Ministry of Defence,27/07/2011,Medical treatment & stores and welfare services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"3,570.47"
Ministry of Defence,Ministry of Defence,28/07/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,825077,"3,566.70"
Ministry of Defence,Ministry of Defence,25/07/2011,Food and clothing,Defence Equipment & Support,TURNER VIRR & CO. LTD,LS25 2DY,823875,"3,562.58"
Ministry of Defence,Ministry of Defence,07/07/2011,Purchase of inventory and services ,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,816171,"3,542.62"
Ministry of Defence,Ministry of Defence,04/07/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,813756,"3,528.25"
Ministry of Defence,United Kingdon Hydrographic Office,13/07/2011,Stationery,"Marketing, CS & Channel Management",COI Communications,,2000055018,"3,525.00"
Ministry of Defence,Ministry of Defence,21/07/2011,Estate management,Defence Equipment & Support,ARAMARK LTD,LS16 6QY,822211,"3,495.19"
Ministry of Defence,Ministry of Defence,06/07/2011,Purchase of inventory and services ,Central TLB,OFFICE DEPOT UK LTD,SP10 4JZ,815845,"3,488.81"
Ministry of Defence,Ministry of Defence,27/07/2011,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,824466,"3,465.28"
Ministry of Defence,Ministry of Defence,08/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,816822,"3,464.07"
Ministry of Defence,Ministry of Defence,07/07/2011,Design services and minor equipment purchases,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,816101,"3,462.67"
Ministry of Defence,Ministry of Defence,18/07/2011,Purchase of information and communications technology,Defence Equipment & Support,ASPIRE DEFENCE LIMITED,SP9 7QD,820397,"3,450.96"
Ministry of Defence,Ministry of Defence,28/07/2011,"Transporation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"3,445.02"
Ministry of Defence,Ministry of Defence,06/07/2011,Purchase of inventory and services ,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,815525,"3,439.41"
Ministry of Defence,Ministry of Defence,21/07/2011,Externally delivered education and training,Air Command,OPP LTD,OX2 8EP,822537,"3,429.00"
Ministry of Defence,Ministry of Defence,18/07/2011,Payment of utilities,Land Forces,BRITISH GAS TRADING LIMITED,OX4 2JY,820446,"3,406.69"
Ministry of Defence,Ministry of Defence,20/07/2011,Purchase of inventory and services ,Defence Equipment & Support,OFFICE DEPOT UK LTD,SP10 4JZ,821938,"3,378.07"
Ministry of Defence,Ministry of Defence,07/07/2011,Estate management,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,816093,"3,343.31"
Ministry of Defence,Ministry of Defence,21/07/2011,Food and clothing,Defence Equipment & Support,TURNER VIRR & CO. LTD,LS25 2DY,822679,"3,326.31"
Ministry of Defence,Ministry of Defence,11/07/2011,Payment of utilities,Air Command,PACE FUELCARE LIMITED,TW20 9AB,817914,"3,314.47"
Ministry of Defence,Ministry of Defence,20/07/2011,Rental of plant and machinery,Land Forces,CANON (UK) LIMITED,RH2 8BF,821602,"3,313.27"
Ministry of Defence,Ministry of Defence,05/07/2011,Food and clothing,Land Forces,SODEXO LTD,M50 0AL,815236,"3,308.33"
Ministry of Defence,Ministry of Defence,06/07/2011,Design services and minor equipment purchases,Defence Infrastructure Organisation ,CANON (UK) LIMITED,RH2 8BF,815525,"3,302.82"
Ministry of Defence,Ministry of Defence,18/07/2011,Estate management,Navy Command,SODEXO LTD,M50 0AL,820852,"3,302.36"
Ministry of Defence,Ministry of Defence,19/07/2011,"Transporation of personnel, freight and travel expenses",Command Joint Operations,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,821114,"3,294.91"
Ministry of Defence,Ministry of Defence,20/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,G3 SYSTEMS LIMITED,DT5 1PY,821746,"3,275.88"
Ministry of Defence,Ministry of Defence,05/07/2011,Food and clothing,Command Joint Operations,C V FITNESS LTD,NG11 7EP,814501,"3,272.64"
Ministry of Defence,Ministry of Defence,19/07/2011,Purchase of inventory and services ,Command Joint Operations,BOC LIMITED,M28 2UT,821027,"3,265.49"
Ministry of Defence,Ministry of Defence,06/07/2011,Rental of plant and machinery,Land Forces,CANON (UK) LIMITED,RH2 8BF,815525,"3,265.15"
Ministry of Defence,Ministry of Defence,19/07/2011,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,820989,"3,256.20"
Ministry of Defence,Ministry of Defence,28/07/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,824982,"3,255.41"
Ministry of Defence,Ministry of Defence,29/07/2011,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,826127,"3,245.49"
Ministry of Defence,Ministry of Defence,22/07/2011,Fees for professional services,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,822936,"3,226.50"
Ministry of Defence,Ministry of Defence,07/07/2011,Estate management,Central TLB,SODEXO LTD,M50 0AL,816628,"3,222.55"
Ministry of Defence,Ministry of Defence,12/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,RACAL ACOUSTICS LIMITED,HA1 4TR,818472,"3,222.17"
Ministry of Defence,Ministry of Defence,20/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,821558,"3,220.96"
Ministry of Defence,Ministry of Defence,28/07/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,825520,"3,204.53"
Ministry of Defence,Ministry of Defence,11/07/2011,Payment of utilities,Land Forces,PACE FUELCARE LIMITED,TW20 9AB,817914,"3,165.12"
Ministry of Defence,Ministry of Defence,07/07/2011,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,816337,"3,164.26"
Ministry of Defence,Ministry of Defence,20/07/2011,Purchase of inventory and services ,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,821602,"3,142.51"
Ministry of Defence,Ministry of Defence,04/07/2011,Food and clothing,Navy Command,COTSWOLD OUTDOOR LTD,SN16 9SH,813900,"3,132.35"
Ministry of Defence,Ministry of Defence,07/07/2011,Development costs for military equipment,Defence Equipment & Support,SYSTEMS CONSULTANTS SERVICES  LIMITED,RG7 4SA,816656,"3,126.11"
Ministry of Defence,Ministry of Defence,28/07/2011,Rent and rates,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"3,103.96"
Ministry of Defence,Ministry of Defence,13/07/2011,Payment of utilities,Central TLB,TOTAL GAS & POWER LIMITED,RH1 1RX,819152,"3,095.45"
Ministry of Defence,Ministry of Defence,13/07/2011,Food and clothing,Land Forces,SODEXO LTD,M50 0AL,819119,"3,086.63"
Ministry of Defence,Ministry of Defence,04/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,813813,"3,083.34"
Ministry of Defence,Ministry of Defence,11/07/2011,Externally delivered education and training,Air Command,DEFENCE SUPPORT GROUP  (DSG),SP11 8HT,817633,"3,079.46"
Ministry of Defence,Ministry of Defence,04/07/2011,Externally delivered education and training,Land Forces,COMPASS GROUP UK AND IRELAND LIMITED,B45 9PZ,813892,"3,069.52"
Ministry of Defence,Ministry of Defence,08/07/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,816822,"3,048.67"
Ministry of Defence,Ministry of Defence,25/07/2011,Estate management,Defence Infrastructure Organisation ,OCS GROUP UK LIMITED,LA3 3BJ,823725,"3,000.00"
Ministry of Defence,Ministry of Defence,06/07/2011,"Transporation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"2,977.94"
Ministry of Defence,Ministry of Defence,21/07/2011,Transport hire charges,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,822226,"2,971.50"
Ministry of Defence,Ministry of Defence,20/07/2011,Estate management,Air Command,CANON (UK) LIMITED,RH2 8BF,821602,"2,958.61"
Ministry of Defence,Ministry of Defence,25/07/2011,Building maintenance and accommodation stores,Navy Command,SODEXO LTD,M50 0AL,823806,"2,953.11"
Ministry of Defence,Ministry of Defence,28/07/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,824942,"2,952.10"
Ministry of Defence,Ministry of Defence,05/07/2011,IT and communication services,Defence Equipment & Support,TRUSTMARQUE SOLUTIONS LIMITED,YO32 9WN,815349,"2,951.44"
Ministry of Defence,Ministry of Defence,21/07/2011,Design services and minor equipment purchases,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,822226,"2,926.36"
Ministry of Defence,Ministry of Defence,28/07/2011,Estate management,Navy Command,SODEXO LTD,M50 0AL,825425,"2,919.00"
Ministry of Defence,Ministry of Defence,15/07/2011,Purchase of inventory and services ,Central TLB,SERCO LIMITED,RG27 9UY,820234,"2,915.25"
Ministry of Defence,Ministry of Defence,22/07/2011,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,822944,"2,910.74"
Ministry of Defence,Ministry of Defence,05/07/2011,Payment of utilities,Air Command,BRITISH GAS TRADING LIMITED,OX4 2JY,814483,"2,903.44"
Ministry of Defence,Ministry of Defence,20/07/2011,IT and communication services,Defence Equipment & Support,LOGICA UK LIMITED,CF31 9AP,821830,"2,897.50"
Ministry of Defence,Ministry of Defence,05/07/2011,Purchase of inventory and services ,Navy Command,LYRECO UK LTD,TF2 7NB,814853,"2,878.53"
Ministry of Defence,Ministry of Defence,05/07/2011,Estate management,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,815216,"2,870.19"
Ministry of Defence,Ministry of Defence,26/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,HELMET INTEGRATED SYSTEMS LTD,SG6 2TU,824125,"2,866.15"
Ministry of Defence,Ministry of Defence,14/07/2011,Purchase of inventory and services ,Central TLB,XMA LTD,NG11 7EP,819738,"2,865.22"
Ministry of Defence,Ministry of Defence,08/07/2011,Estate management,Air Command,CANON (UK) LIMITED,RH2 8BF,816879,"2,863.14"
Ministry of Defence,Ministry of Defence,21/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,VT FLAGSHIP LTD,PO6 4PR,822692,"2,856.00"
Ministry of Defence,Ministry of Defence,12/07/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,818106,"2,855.82"
Ministry of Defence,Ministry of Defence,20/07/2011,Estate management,Defence Infrastructure Organisation ,CANON (UK) LIMITED,RH2 8BF,821602,"2,851.21"
Ministry of Defence,Ministry of Defence,28/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,824982,"2,849.55"
Ministry of Defence,Ministry of Defence,27/07/2011,"Transporation of personnel, freight and travel expenses",Air Command,DSV AIR & SEA LIMITED,M22 4NY,824561,"2,842.32"
Ministry of Defence,Ministry of Defence,05/07/2011,"Transporation of personnel, freight and travel expenses",Land Forces,CITYSPRINT (UK) LIMITED,RH1 1SH,814545,"2,829.16"
Ministry of Defence,Ministry of Defence,04/07/2011,Purchase of inventory and services ,Central TLB,LYRECO UK LTD,TF2 7NB,814055,"2,825.09"
Ministry of Defence,Ministry of Defence,06/07/2011,Design services and minor equipment purchases,Air Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,815570,"2,808.12"
Ministry of Defence,Ministry of Defence,27/07/2011,Rent and rates,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"2,802.87"
Ministry of Defence,Ministry of Defence,27/07/2011,"Transporation of personnel, freight and travel expenses",Central TLB,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,824555,"2,775.51"
Ministry of Defence,Ministry of Defence,06/07/2011,Purchase of inventory and services ,Navy Command,NHS BUSINESS SERVICES AUTHORITY,ME16 0LW,2E+11,"2,754.00"
Ministry of Defence,Ministry of Defence,11/07/2011,IT and communication services,Defence Equipment & Support,SYSTEMS CONSULTANTS SERVICES  LIMITED,RG7 4SA,818016,"2,750.00"
Ministry of Defence,Ministry of Defence,27/07/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,824417,"2,725.44"
Ministry of Defence,Ministry of Defence,19/07/2011,Purchase of inventory and services ,Air Command,CANON (UK) LIMITED,RH2 8BF,821056,"2,721.67"
Ministry of Defence,Ministry of Defence,13/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000059283,"2,713.08"
Ministry of Defence,Ministry of Defence,07/07/2011,Purchase of inventory and services ,Defence Equipment & Support,HENRY SCHEIN UK HOLDINGS LIMITED,ME8 0SB,816331,"2,708.12"
Ministry of Defence,Ministry of Defence,11/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG12 1HN,817738,"2,700.00"
Ministry of Defence,Ministry of Defence,21/07/2011,Payment of utilities,Air Command,BRITISH GAS TRADING LIMITED,OX4 2JY,822257,"2,679.57"
Ministry of Defence,Ministry of Defence,11/07/2011,Medical treatment & stores and welfare services,Defence Equipment & Support,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,817594,"2,678.74"
Ministry of Defence,Ministry of Defence,15/07/2011,Purchase of inventory and services ,Air Command,BOC LIMITED,M28 2UT,819813,"2,670.39"
Ministry of Defence,Ministry of Defence,20/07/2011,General services and support,Land Forces,CANON (UK) LIMITED,RH2 8BF,821602,"2,646.19"
Ministry of Defence,Ministry of Defence,11/07/2011,Medical treatment & stores and welfare services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,817594,"2,645.44"
Ministry of Defence,Ministry of Defence,25/07/2011,Payment of utilities,Defence Equipment & Support,TOTAL GAS & POWER LIMITED,RH1 1RX,823867,"2,643.55"
Ministry of Defence,Ministry of Defence,11/07/2011,Administration,Central TLB,CANON (UK) LIMITED,RH2 8BF,817579,"2,642.14"
Ministry of Defence,Ministry of Defence,28/07/2011,Transport hire charges,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,824982,"2,636.99"
Ministry of Defence,Ministry of Defence,26/07/2011,Fees for professional services,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,824120,"2,614.50"
Ministry of Defence,Ministry of Defence,06/07/2011,Fees for professional services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,815714,"2,600.00"
Ministry of Defence,Ministry of Defence,29/07/2011,Fuel for military use,Land Forces,QINETIQ LIMITED,PO12 2AG,825973,"2,595.17"
Ministry of Defence,Ministry of Defence,18/07/2011,Estate management,Air Command,ASPIRE DEFENCE LIMITED,SP9 7QD,820397,"2,593.43"
Ministry of Defence,Ministry of Defence,19/07/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,821388,"2,586.20"
Ministry of Defence,Ministry of Defence,20/07/2011,Purchase of inventory and services ,Defence Equipment & Support,CARWOOD MOTOR UNITS LTD,CV3 2RQ,821611,"2,574.38"
Ministry of Defence,Ministry of Defence,22/07/2011,Design services and minor equipment purchases,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,822778,"2,566.46"
Ministry of Defence,Ministry of Defence,07/07/2011,Purchase of inventory and services ,Command Joint Operations,BOC LIMITED,M28 2UT,816139,"2,565.22"
Ministry of Defence,Ministry of Defence,19/07/2011,Food and clothing,Defence Equipment & Support,TURNER VIRR & CO. LTD,LS25 2DY,821478,"2,542.90"
Ministry of Defence,Ministry of Defence,19/07/2011,Purchase of inventory and services ,Central TLB,CANON (UK) LIMITED,RH2 8BF,821056,"2,542.05"
Ministry of Defence,Ministry of Defence,07/07/2011,Purchase of inventory and services ,Central TLB,CANON (UK) LIMITED,RH2 8BF,816171,"2,540.97"
Ministry of Defence,Ministry of Defence,06/07/2011,Purchase of inventory and services ,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,815570,"2,540.12"
Ministry of Defence,Ministry of Defence,07/07/2011,Estate management,Defence Infrastructure Organisation ,CANON (UK) LIMITED,RH2 8BF,816171,"2,537.24"
Ministry of Defence,Ministry of Defence,05/07/2011,Property leases,Defence Equipment & Support,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,814694,"2,517.00"
Ministry of Defence,Ministry of Defence,21/07/2011,Medical treatment & stores and welfare services,Command Joint Operations,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"2,507.97"
Ministry of Defence,Ministry of Defence,11/07/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,817521,"2,487.96"
Ministry of Defence,Ministry of Defence,21/07/2011,Rental of plant and machinery,Land Forces,CANON (UK) LIMITED,RH2 8BF,822268,"2,486.39"
Ministry of Defence,Ministry of Defence,06/07/2011,Fuel for military use,Central TLB,EUROSHELL DEUTSCHLAND GMBH,,5000058860,"2,482.35"
Ministry of Defence,Ministry of Defence,05/07/2011,IT and communication services,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,814510,"2,480.52"
Ministry of Defence,Ministry of Defence,21/07/2011,"Transporation of personnel, freight and travel expenses",Air Command,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,822324,"2,479.73"
Ministry of Defence,Ministry of Defence,11/07/2011,Estate management,Air Command,AVENANCE PLC,SK11 6ET,817509,"2,464.21"
Ministry of Defence,Ministry of Defence,12/07/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,818593,"2,449.89"
Ministry of Defence,Ministry of Defence,14/07/2011,Externally delivered education and training,Air Command,J A MAFFIA T/A JOHNS SCHOOL OF MOTORING,N18 2QD,819431,"2,448.00"
Ministry of Defence,Ministry of Defence,14/07/2011,Food and clothing,Defence Equipment & Support,NORTHERN DIVER (INTERNATIONAL) LTD,WN6 9AE,819550,"2,440.10"
Ministry of Defence,Ministry of Defence,13/07/2011,Estate management,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,818639,"2,434.72"
Ministry of Defence,Ministry of Defence,27/07/2011,"Administration, claims, compensation and awards",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"2,433.02"
Ministry of Defence,Ministry of Defence,21/07/2011,Payment of utilities,Navy Command,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,822640,"2,418.92"
Ministry of Defence,Ministry of Defence,07/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,MITCHELL DIESEL LIMITED,NG17 2JZ,816438,"2,400.00"
Ministry of Defence,Ministry of Defence,07/07/2011,Fuel for military use,Air Command,QINETIQ LIMITED,PO12 2AG,816569,"2,389.49"
Ministry of Defence,Ministry of Defence,07/07/2011,"Transporation of personnel, freight and travel expenses",Central TLB,ROYAL BRUNEI AIRLINES SDN BHD,,816599,"2,377.94"
Ministry of Defence,Ministry of Defence,07/07/2011,"Administration, claims, compensation and awards",Land Forces,CANON (UK) LIMITED,RH2 8BF,816171,"2,328.59"
Ministry of Defence,Ministry of Defence,22/07/2011,Estate management,Air Command,SODEXO LTD,M50 0AL,823209,"2,323.69"
Ministry of Defence,Ministry of Defence,04/07/2011,Food and clothing,Defence Equipment & Support,ARAMARK LTD,LS16 6QY,813795,"2,312.95"
Ministry of Defence,Ministry of Defence,12/07/2011,Estate management,Air Command,SODEXO LTD,M50 0AL,818512,"2,309.10"
Ministry of Defence,Ministry of Defence,21/07/2011,"Transporation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"2,308.72"
Ministry of Defence,Ministry of Defence,28/07/2011,"Transporation of personnel, freight and travel expenses",Air Command,PALLETWAYS (U K) LTD,WS13 8NE,825349,"2,299.72"
Ministry of Defence,Ministry of Defence,18/07/2011,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,820953,"2,294.28"
Ministry of Defence,Ministry of Defence,08/07/2011,Estate management,Air Command,TRAVIS PERKINS TRADING COMPANY LIMITED,NN5 7UE,817410,"2,292.94"
Ministry of Defence,Ministry of Defence,05/07/2011,Fees for professional services,Air Command,Government Actuary's Department,EC4A 1AB,2E+11,"2,285.75"
Ministry of Defence,Ministry of Defence,07/07/2011,Design services and minor equipment purchases,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,816101,"2,276.28"
Ministry of Defence,Ministry of Defence,07/07/2011,Purchase of inventory and services ,Navy Command,LYRECO UK LTD,TF2 7NB,816409,"2,258.77"
Ministry of Defence,Ministry of Defence,08/07/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,816757,"2,239.89"
Ministry of Defence,Ministry of Defence,22/07/2011,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,822944,"2,227.50"
Ministry of Defence,Ministry of Defence,14/07/2011,Design services and minor equipment purchases,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,819234,"2,205.00"
Ministry of Defence,Ministry of Defence,25/07/2011,International contributions,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"2,204.98"
Ministry of Defence,Ministry of Defence,21/07/2011,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,822710,"2,203.95"
Ministry of Defence,Ministry of Defence,13/07/2011,Purchase of inventory and services ,Defence Equipment & Support,CARWOOD MOTOR UNITS LTD,CV3 2RQ,818714,"2,195.70"
Ministry of Defence,Ministry of Defence,11/07/2011,Estate management,Defence Equipment & Support,AVENANCE PLC,SK11 6ET,817509,"2,188.01"
Ministry of Defence,Ministry of Defence,27/07/2011,Purchase of inventory and services ,Central TLB,OFFICE DEPOT UK LTD,SP10 4JZ,824759,"2,182.91"
Ministry of Defence,Ministry of Defence,25/07/2011,Purchase of inventory and services ,Central TLB,XMA LTD,NG11 7EP,823906,"2,171.32"
Ministry of Defence,Ministry of Defence,14/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,KIDDE GRAVINER LIMITED,SL3 0HB,819440,"2,165.37"
Ministry of Defence,Ministry of Defence,21/07/2011,Payment of utilities,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"2,163.80"
Ministry of Defence,Ministry of Defence,05/07/2011,Purchase of inventory and services ,Central TLB,LYRECO UK LTD,TF2 7NB,814853,"2,152.55"
Ministry of Defence,Ministry of Defence,21/07/2011,Transport hire charges,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,822226,"2,139.37"
Ministry of Defence,Ministry of Defence,21/07/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,822226,"2,136.11"
Ministry of Defence,Ministry of Defence,21/07/2011,Official entertainment and hospitality,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"2,135.48"
Ministry of Defence,Ministry of Defence,05/07/2011,Purchase of inventory and services ,Land Forces,CANON (UK) LIMITED,RH2 8BF,814510,"2,132.08"
Ministry of Defence,Ministry of Defence,08/07/2011,Purchase of inventory and services ,Air Command,PFIZER LIMITED,KT20 7NS,817251,"2,125.80"
Ministry of Defence,Ministry of Defence,14/07/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,819195,"2,108.51"
Ministry of Defence,Ministry of Defence,06/07/2011,Estate management,Air Command,CANON (UK) LIMITED,RH2 8BF,815525,"2,102.09"
Ministry of Defence,Ministry of Defence,27/07/2011,International contributions,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2E+11,"2,098.42"
Ministry of Defence,Ministry of Defence,18/07/2011,Food and clothing,Land Forces,SODEXO LTD,M50 0AL,820852,"2,088.33"
Ministry of Defence,Ministry of Defence,21/07/2011,Design services and minor equipment purchases,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,822214,"2,085.60"
Ministry of Defence,Ministry of Defence,07/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,816101,"2,083.72"
Ministry of Defence,Ministry of Defence,14/07/2011,Purchase of inventory and services ,Central TLB,SERCO LIMITED,RG27 9UY,819645,"2,079.80"
