UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC184,12-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"2,114.58",184
MODGPC185,11-May-10,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"1,335.03",185
MODGPC186,11-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,953.88",186
MODGPC187,05-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,954.01",187
MODGPC188,27-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,665.32",188
MODGPC189,22-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"1,250.72",189
MODGPC190,21-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"42,685.40",190
MODGPC191,23-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,770.8,191
MODGPC192,10-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,881.25,192
MODGPC193,21-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"15,157.50",193
MODGPC194,10-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,751.48,194
MODGPC195,22-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,690.31,195
MODGPC196,22-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,911.31,196
MODGPC197,13-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,888.3,197
MODGPC198,06-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,869.5,198
MODGPC199,06-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,024.60",199
MODGPC200,14-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,920.61,200
MODGPC201,16-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,547.08,201
MODGPC202,26-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,036.33",202
MODGPC203,05-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,831.91,203
MODGPC204,05-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,661.01,204
MODGPC205,23-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,310.08",205
MODGPC206,05-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,883.17",206
MODGPC207,15-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"13,395.02",207
MODGPC208,30-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,766.69,208
MODGPC209,14-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"2,682.20",209
MODGPC210,13-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,741.94",210
MODGPC211,16-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"10,796.91",211
MODGPC212,26-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"1,199.10",212
MODGPC213,13-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"4,000.00",213
MODGPC214,13-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"4,000.00",214
MODGPC215,13-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"1,970.75",215
MODGPC216,13-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"4,000.00",216
MODGPC217,20-Apr-10,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"1,619.08",217
MODGPC218,27-Apr-10,Building Materials                 , CONSTRUCTION MATERIALS - DEF,580.45,218
MODGPC219,20-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,953.63,219
MODGPC220,12-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,705.81,220
MODGPC221,17-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,830.49,221
MODGPC222,20-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,551.96,222
MODGPC223,29-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,830.49,223
MODGPC224,07-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,714.51,224
MODGPC225,22-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,662.04,225
MODGPC226,06-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,667.35,226
MODGPC227,02-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,692.08,227
MODGPC228,06-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,821.25,228
MODGPC229,15-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,915.52,229
MODGPC230,22-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,851.64",230
MODGPC231,06-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,566.58,231
MODGPC232,27-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"2,828.81",232
MODGPC233,12-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,614.45",233
MODGPC234,19-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,688.43,234
MODGPC235,10-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,688.43,235
MODGPC236,07-May-10,Building Materials                 , PLUMBING/HEATING EQUIPMENT,"1,145.63",236
MODGPC237,10-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,617.16,237
MODGPC238,27-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,765.12,238
MODGPC239,16-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,759.92,239
MODGPC240,15-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"1,040.83",240
MODGPC241,10-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,749.68,241
MODGPC242,12-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,078.09",242
MODGPC243,10-May-10,Building Materials                 , GLASS/PAINT/WALLPAPER STORES,851.64,243
MODGPC244,10-May-10,Building Materials                 , GLASS/PAINT/WALLPAPER STORES,669.28,244
MODGPC245,10-May-10,Building Materials                 , GLASS/PAINT/WALLPAPER STORES,654.24,245
MODGPC246,22-Apr-10,Building Materials                 , GLASS/PAINT/WALLPAPER STORES,"1,021.59",246
MODGPC247,16-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,940,247
MODGPC248,28-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"3,683.63",248
