Post Date,Publishable Label,Transaction Amount,"Publishable Label is provided by the Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary",,
19/07/12,Other Retailers,605.82,,,
20/07/12,Other Retailers,637.19,IT equipment,,
23/07/12,Other Retailers,902.82,,,
23/07/12,Other Retailers,720.00,,,
25/07/12,Other Retailers,550.00,,,
26/07/12,Other Retailers,1148.95,,,
26/07/12,Other Retailers,626.88,,,
30/07/12,Other Retailers,778.44,,,
30/07/12,Other Retailers,1123.44,,,
31/07/12,Other Retailers,1017.72,,,
31/07/12,Other Retailers,1017.72,Disposable cups/cutlery/plates for cafeteria catering use during the British Business Event,,
26/07/12,Recurring Transaction,500.00,Online promotion for Forced Marriage Campaign,,
02/07/12,Services,679.51,,,
02/07/12,Services,846.36,,,
02/07/12,Services,595.86,,,
03/07/12,Services,595.86,,,
03/07/12,Services,924.95,,,
03/07/12,Services,695.21,,,
04/07/12,Services,850.68,,,
04/07/12,Services,975.47,,,
04/07/12,Services,659.70,,,
05/07/12,Services,1150.00,Training course,,
05/07/12,Services,951.68,,,
05/07/12,Services,993.72,,,
05/07/12,Services,986.02,,,
06/07/12,Services,940.50,Training course,,
06/07/12,Services,1447.20,,,
06/07/12,Services,836.54,,,
06/07/12,Services,1150.00,,,
06/07/12,Services,1244.40,,,
06/07/12,Services,2940.46,Conference/Summit fees,,
09/07/12,Services,845.78,,,
09/07/12,Services,806.70,,,
09/07/12,Services,713.75,,,
10/07/12,Services,957.93,,,
10/07/12,Services,739.68,,,
10/07/12,Services,874.22,,,
10/07/12,Services,576.58,,,
10/07/12,Services,864.86,,,
10/07/12,Services,877.98,,,
10/07/12,Services,956.64,,,
11/07/12,Services,736.92,,,
11/07/12,Services,521.88,,,
11/07/12,Services,1193.22,10 x Optipoint 500 Advanced telephones,,
11/07/12,Services,521.88,,,
12/07/12,Services,736.92,,,
13/07/12,Services,977.04,,,
13/07/12,Services,874.22,,,
13/07/12,Services,864.86,,,
13/07/12,Services,864.86,,,
13/07/12,Services,909.74,,,
16/07/12,Services,949.97,,,
16/07/12,Services,897.84,,,
17/07/12,Services,986.02,,,
17/07/12,Services,610.52,,,
18/07/12,Services,1095.48,Training course,,
18/07/12,Services,703.78,,,
18/07/12,Services,595.86,,,
19/07/12,Services,1026.00,,,
19/07/12,Services,677.21,Conference fee,,
20/07/12,Services,537.98,,,
20/07/12,Services,720.00,,,
23/07/12,Services,1560.00,,,
23/07/12,Services,591.66,,,
23/07/12,Services,971.96,,,
23/07/12,Services,700.65,,,
23/07/12,Services,822.28,Diamond Jubilee reception held at post,,
24/07/12,Services,682.68,,,
24/07/12,Services,721.04,,,
24/07/12,Services,935.85,,,
24/07/12,Services,601.88,,,
25/07/12,Services,601.88,,,
25/07/12,Services,1000.00,,,
25/07/12,Services,726.00,,,
26/07/12,Services,1000.00,Advertisement in magazine for disabled travellers,,
26/07/12,Services,507.95,,,
26/07/12,Services,927.39,,,
26/07/12,Services,530.57,,,
27/07/12,Services,708.00,,,
27/07/12,Services,1950.00,,,
27/07/12,Services,1000.00,,,
27/07/12,Services,1000.00,,,
27/07/12,Services,1000.00,,,
27/07/12,Services,626.48,,,
27/07/12,Services,1000.00,,,
27/07/12,Services,1000.00,,,
27/07/12,Services,928.63,,,
27/07/12,Services,596.55,,,
30/07/12,Services,739.51,,,
03/07/12,Supermarkets,633.37,Groceries for official events held at Residence overseas,,
02/07/12,Travel Agencies,663.31,,,
02/07/12,Travel Agencies,3060.84,,,
03/07/12,Travel Agencies,1812.96,,,
03/07/12,Travel Agencies,656.77,,,
03/07/12,Travel Agencies,534.55,,,
03/07/12,Travel Agencies,834.33,,,
03/07/12,Travel Agencies,784.37,,,
03/07/12,Travel Agencies,503.96,,,
03/07/12,Travel Agencies,606.74,,,
