Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTHUMBRIA POLICE AUTH,,,,5000167758,Grant Payable by Exchequer,"4,597,148.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NOTTINGHAM CITY COUNCIL,,,,5000167778,Grant Payable by Exchequer,"6,705,419.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NOTTINGHAMSHIRE COUNTY CNCL,,,,5000167783,Grant Payable by Exchequer,"7,210,705.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NOTTINGHAMSHIRE POLICE AU,,,,5000167793,Grant Payable by Exchequer,"2,069,142.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NOTTS & CITY NOTTINGHAM FIRE AUTH,,,,5000167788,Grant Payable by Exchequer,"821,252.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,OLDHAM MBC,,,,5000167833,Grant Payable by Exchequer,"4,441,776.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,OXFORDSHIRE CC,,,,5000167846,Grant Payable by Exchequer,"4,432,505.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,PLYMOUTH CITY CNCL,,,,5000167116,Grant Payable by Exchequer,"4,075,846.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,REDCAR & CLEVELAND BOROUGH COUNCIL,,,,5000167185,Grant Payable by Exchequer,"2,467,129.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,ROCHDALE MBC,,,,5000167245,Grant Payable by Exchequer,"4,192,518.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,ROTHERHAM MBC,,,,5000167290,Grant Payable by Exchequer,"4,469,154.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,ROYAL BERKSHIRE FIRE AUTHORITY,,,,5000167284,Grant Payable by Exchequer,"536,368.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SALFORD CITY CNCL,,,,5000167355,Grant Payable by Exchequer,"4,921,346.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SANDWELL MBC,,,,5000167365,Grant Payable by Exchequer,"6,767,060.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SEFTON MBC,,,,5000167400,Grant Payable by Exchequer,"4,581,692.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SHEFFIELD CITY CNCL,,,,5000167425,Grant Payable by Exchequer,"10,293,333.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SHROPSHIRE & WREKIN FIRE AUTHORITY,,,,5000167445,Grant Payable by Exchequer,"271,487.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SHROPSHIRE COUNCIL,,Large,,5000167810,Grant Payable by Exchequer,"3,456,134.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOMERSET COUNTY CNCL,,,,5000167470,Grant Payable by Exchequer,"4,722,716.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOUTH TYNESIDE COUNCIL,,,,5000167614,Grant Payable by Exchequer,"3,267,654.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOUTH YORKSHIRE FIRE & CD,,,,5000167624,Grant Payable by Exchequer,"1,207,446.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOUTH YORKSHIRE P A,,,,5000167629,Grant Payable by Exchequer,"3,429,602.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SOUTHEND ON SEA BC,,,,5000167642,Grant Payable by Exchequer,"2,322,687.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,ST HELENS MBC,,,,5000167690,Grant Payable by Exchequer,"3,302,065.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,STAFFORDSHIRE  FIRE & RESCUE SERV,,,,5000167715,Grant Payable by Exchequer,"672,713.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,STAFFORDSHIRE COUNTY CNCL,,,,5000167710,Grant Payable by Exchequer,"6,342,784.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,STAFFORDSHIRE POLICE AUTHORITY,,,,5000167730,Grant Payable by Exchequer,"1,775,402.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,STOKE ON TRENT CITY COUNCIL,,,,5000167769,Grant Payable by Exchequer,"4,719,610.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUFFOLK COUNTY CNCL,,,,5000167794,Grant Payable by Exchequer,"6,722,446.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUFFOLK POLICE AUTHORITY,,,,5000167809,Grant Payable by Exchequer,"989,220.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUNDERLAND DC,,,,5000167819,Grant Payable by Exchequer,"5,736,628.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SURREY COUNTY CNCL,,,,5000167824,Grant Payable by Exchequer,"5,531,607.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SURREY POLICE AUTHORITY,,,,5000167839,Grant Payable by Exchequer,"1,279,499.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,SUSSEX POLICE AUTHORITY,,,,5000167843,Grant Payable by Exchequer,"2,389,389.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,TAMESIDE MBC,,,,5000167140,Grant Payable by Exchequer,"3,872,407.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,THAMES VALLEY POLICE AUTHORITY,,,,5000167225,Grant Payable by Exchequer,"3,243,710.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,TORBAY BC,,,,5000167271,Grant Payable by Exchequer,"2,264,947.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,TYNE & WEAR FIRE AUTHORITY,,,,5000167321,Grant Payable by Exchequer,"1,168,012.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,W YORKSHIRE FIRE & RESCUE AUTH,,,,5000167567,Grant Payable by Exchequer,"1,894,567.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WALSALL MBC,,,,5000167356,Grant Payable by Exchequer,"4,974,829.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WALTHAM FOREST LB,,,,5000167371,Grant Payable by Exchequer,"4,569,246.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WANDSWORTH LB,,,,5000167376,Grant Payable by Exchequer,"5,539,858.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WARWICKSHIRE COUNTY CNCL,,,,5000167406,Grant Payable by Exchequer,"3,894,207.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WARWICKSHIRE POLICE AUTHORITY,,,,5000167411,Grant Payable by Exchequer,"729,321.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST MERCIA POLICE AUTH,,,,5000167526,Grant Payable by Exchequer,"1,888,971.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST MIDLANDS FIRE & CIVIL DEFENCE,,,,5000167531,Grant Payable by Exchequer,"2,653,680.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST MIDLANDS POLICE AUTH,,,,5000167536,Grant Payable by Exchequer,"8,160,239.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST SUSSEX CC,,,,5000167562,Grant Payable by Exchequer,"4,391,896.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WEST YORKSHIRE POLICE AUTHORITY,,,,5000167572,Grant Payable by Exchequer,"5,474,645.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WIGAN MBC,,,,5000167601,Grant Payable by Exchequer,"4,898,894.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WILTSHIRE & SWINDON FIRE AUTHORITY,,,,5000167607,Grant Payable by Exchequer,"330,567.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WILTSHIRE POLICE,,,,5000167612,Grant Payable by Exchequer,"919,750.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WIRRAL MBC,,,,5000167638,Grant Payable by Exchequer,"5,762,334.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WOLVERHAMPTON MBC,,,,5000167673,Grant Payable by Exchequer,"5,262,309.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,WORCESTERSHIRE COUNTY COUNCIL,,,,5000167689,Grant Payable by Exchequer,"3,960,901.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,BARKING & DAGENHAM LB,,,,5000167194,Grant Payable by Exchequer,"-2,408,327.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,BARNSLEY MBC,,,,5000167214,Grant Payable by Exchequer,"-2,232,758.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,BIRMINGHAM CITY CNCL,,,,5000167299,Grant Payable by Exchequer,"-18,024,101.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,BLACKBURN WITH DARWEN BC,,,,5000167323,Grant Payable by Exchequer,"-2,001,481.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,BLACKPOOL BC,,,,5000167328,Grant Payable by Exchequer,"-2,162,889.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,BOLTON MBC,,,,5000167347,Grant Payable by Exchequer,"-3,923,366.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,BRADFORD MBC,,,,5000167388,Grant Payable by Exchequer,"-6,106,844.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,BRENT LB,,,,5000167423,Grant Payable by Exchequer,"-4,394,201.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,BRENT LB,,,,5000167428,Grant Payable by Exchequer,"-23,648.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,BURY MBC,,,,5000167532,Grant Payable by Exchequer,"-2,314,744.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,CALDERDALE MBC,,,,5000167546,Grant Payable by Exchequer,"-2,568,220.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,CORNWALL COUNCIL,,,,5000167786,Grant Payable by Exchequer,"-6,540,062.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,COVENTRY CITY CNCL,,,,5000167801,Grant Payable by Exchequer,"-5,031,816.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,DARLINGTON BC,,,,5000167107,Grant Payable by Exchequer,"-1,474,366.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,DERBY CITY CNCL,,,,5000167143,Grant Payable by Exchequer,"-3,837,423.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,DONCASTER MBC,,,,5000167192,Grant Payable by Exchequer,"-3,711,175.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,DUDLEY MBC,,,,5000167223,Grant Payable by Exchequer,"-4,202,726.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,DURHAM COUNTY COUNCIL,,,,5000167790,Grant Payable by Exchequer,"-4,854,723.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,EAST RIDING OF YORKS,,,,5000167330,Grant Payable by Exchequer,"-3,621,166.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,ENFIELD LB,,,,5000167399,Grant Payable by Exchequer,"-4,526,974.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,GATESHEAD MBC,,,,5000167513,Grant Payable by Exchequer,"-3,810,435.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,GREENWICH LB,,,,5000167585,Grant Payable by Exchequer,"-2,701,500.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,HALTON BC,,,,5000167616,Grant Payable by Exchequer,"-2,088,778.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,HARINGEY LB,,,,5000167676,Grant Payable by Exchequer,"-2,773,967.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,HARROW LB,,,,5000167706,Grant Payable by Exchequer,"-2,174,733.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,HARTLEPOOL BOROUGH COUNCIL,,,,5000167721,Grant Payable by Exchequer,"-1,210,169.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,HEREFORDSHIRE DISTRICT COUNCIL,,,,5000167770,Grant Payable by Exchequer,"-2,028,173.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,HULL CITY COUNCIL,,,,5000167208,Grant Payable by Exchequer,"-4,236,448.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,ISLE OF WIGHT CNCL,,,,5000167117,Grant Payable by Exchequer,"-1,513,100.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,ISLES OF SCILLY COUNCIL,,,,5000167142,Grant Payable by Exchequer,"-58,689.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,KIRKLEES MBC,,,,5000167227,Grant Payable by Exchequer,"-4,706,317.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,KNOWSLEY MBC,,,,5000167232,Grant Payable by Exchequer,"-1,732,595.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,LEICESTER CITY CNCL,,,,5000167292,Grant Payable by Exchequer,"-4,679,057.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,LEWISHAM LB,,,,5000167327,Grant Payable by Exchequer,"-2,167,147.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,LIVERPOOL CITY COUNCIL,,,,5000167367,Grant Payable by Exchequer,"-8,243,024.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF HACKNEY,,,,5000167611,Grant Payable by Exchequer,"-3,538,691.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF LAMBETH,,,,5000167241,Grant Payable by Exchequer,"-4,990,042.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF NEWHAM,,Large,,5000167603,Grant Payable by Exchequer,"-3,874,392.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF REDBRIDGE,,,,5000167181,Grant Payable by Exchequer,"-2,367,907.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,LUTON BC,,,,5000167372,Grant Payable by Exchequer,"-2,898,482.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,MIDDLESBROUGH BC,,,,5000167525,Grant Payable by Exchequer,"-1,858,198.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,NORTH TYNESIDE MBC,,,,5000167707,Grant Payable by Exchequer,"-2,552,591.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,NORTHUMBERLAND,,,,5000167805,Grant Payable by Exchequer,"-3,234,199.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,NOTTINGHAM CITY COUNCIL,,,,5000167773,Grant Payable by Exchequer,"-5,561,108.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,OLDHAM MBC,,,,5000167828,Grant Payable by Exchequer,"-2,613,945.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,PLYMOUTH CITY CNCL,,,,5000167121,Grant Payable by Exchequer,"-3,863,294.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,REDCAR & CLEVELAND BOROUGH COUNCIL,,,,5000167190,Grant Payable by Exchequer,"-2,178,231.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,ROCHDALE MBC,,,,5000167250,Grant Payable by Exchequer,"-2,796,067.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,ROTHERHAM MBC,,,,5000167285,Grant Payable by Exchequer,"-3,068,752.00",Yes
Communities & Local Government,DCLG,04/07/2011,NNDR Billing Authorities Receipts,Treasury,SALFORD CITY CNCL,,,,5000167360,Grant Payable by Exchequer,"-3,681,931.00",Yes
