Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by the Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary."
14/05/12,Other Retailers,1741.17,Magazine subscription
15/05/12,Other Retailers,851.20,Stationery
16/05/12,Other Retailers,605.82,
17/05/12,Other Retailers,1299.51,
17/05/12,Other Retailers,621.52,Stationery
18/05/12,Other Retailers,934.50,
18/05/12,Other Retailers,502.19,
21/05/12,Other Retailers,1269.12,
21/05/12,Other Retailers,1071.46,
22/05/12,Other Retailers,600.00,
23/05/12,Other Retailers,1200.00,
23/05/12,Other Retailers,1503.48,Stationery
25/05/12,Other Retailers,946.98,
28/05/12,Other Retailers,1088.38,Catering equipment for use at official functions
28/05/12,Other Retailers,521.30,
30/05/12,Other Retailers,585.00,
30/05/12,Other Retailers,694.68,
31/05/12,Other Retailers,813.24,
17/05/12,Petrol,1033.01,Petrol for official fleet vehicles for one month
24/05/12,Recurring Transaction,512.00,Training course
01/05/12,Services,798.47,
01/05/12,Services,716.60,
01/05/12,Services,690.93,
01/05/12,Services,745.44,
02/05/12,Services,551.00,
02/05/12,Services,956.34,
03/05/12,Services,1490.00,Ministerial speaking engagement
03/05/12,Services,1303.44,
04/05/12,Services,977.23,
04/05/12,Services,802.17,Official mobile phone provider charges
07/05/12,Services,1368.90,
07/05/12,Services,782.88,
07/05/12,Services,1254.79,Leadership event costs
07/05/12,Services,1059.25,
09/05/12,Services,877.98,
09/05/12,Services,811.20,
10/05/12,Services,588.00,
10/05/12,Services,1470.00,
10/05/12,Services,1470.00,Training course
10/05/12,Services,1470.00,
10/05/12,Services,1000.00,
11/05/12,Services,791.64,
11/05/12,Services,699.79,
11/05/12,Services,616.26,
14/05/12,Services,510.88,
14/05/12,Services,520.58,
14/05/12,Services,867.99,
14/05/12,Services,591.66,
16/05/12,Services,1400.42,Advertising for public diplomacy event
16/05/12,Services,724.52,
17/05/12,Services,525.60,
17/05/12,Services,4081.67,Official mobile phone provider charges
17/05/12,Services,942.00,
17/05/12,Services,594.00,
17/05/12,Services,739.51,
17/05/12,Services,615.38,
18/05/12,Services,840.03,
18/05/12,Services,1127.46,
21/05/12,Services,659.22,
22/05/12,Services,561.02,
28/05/12,Services,648.95,
28/05/12,Services,1554.00,
28/05/12,Services,704.31,Official mobile phone provider charges
28/05/12,Services,787.40,
28/05/12,Services,1353.50,
28/05/12,Services,708.48,
31/05/12,Services,536.40,
31/05/12,Services,608.10,
31/05/12,Services,507.95,
31/05/12,Services,555.64,
31/05/12,Services,579.70,
31/05/12,Services,1350.00,Training course
31/05/12,Services,1104.00,Training course
01/05/12,Travel Agencies,2265.00,
01/05/12,Travel Agencies,714.99,
01/05/12,Travel Agencies,1524.96,
01/05/12,Travel Agencies,2017.91,
01/05/12,Travel Agencies,2537.87,
01/05/12,Travel Agencies,2514.74,
01/05/12,Travel Agencies,2537.87,
01/05/12,Travel Agencies,1532.83,
02/05/12,Travel Agencies,1750.28,
02/05/12,Travel Agencies,903.69,
02/05/12,Travel Agencies,955.81,
02/05/12,Travel Agencies,955.81,
03/05/12,Travel Agencies,593.35,
03/05/12,Travel Agencies,3606.46,
03/05/12,Travel Agencies,2153.03,
03/05/12,Travel Agencies,1563.14,
04/05/12,Travel Agencies,769.96,
04/05/12,Travel Agencies,662.07,
04/05/12,Travel Agencies,769.96,
04/05/12,Travel Agencies,769.96,
04/05/12,Travel Agencies,3460.77,
04/05/12,Travel Agencies,582.30,
04/05/12,Travel Agencies,2942.25,
04/05/12,Travel Agencies,-3259.33,
07/05/12,Travel Agencies,2883.99,
07/05/12,Travel Agencies,1657.06,
07/05/12,Travel Agencies,3036.62,
07/05/12,Travel Agencies,553.37,
07/05/12,Travel Agencies,1108.88,
09/05/12,Travel Agencies,-923.15,
09/05/12,Travel Agencies,-1526.92,
09/05/12,Travel Agencies,1521.31,
10/05/12,Travel Agencies,599.29,
10/05/12,Travel Agencies,3387.53,
10/05/12,Travel Agencies,2924.64,
10/05/12,Travel Agencies,-667.14,
10/05/12,Travel Agencies,-667.14,
10/05/12,Travel Agencies,-667.14,
10/05/12,Travel Agencies,-667.14,
11/05/12,Travel Agencies,561.44,
11/05/12,Travel Agencies,1657.06,
11/05/12,Travel Agencies,3460.67,
11/05/12,Travel Agencies,4516.88,
11/05/12,Travel Agencies,-682.79,
11/05/12,Travel Agencies,1629.43,
11/05/12,Travel Agencies,2554.87,
14/05/12,Travel Agencies,2863.58,
14/05/12,Travel Agencies,2827.84,
14/05/12,Travel Agencies,2827.84,
14/05/12,Travel Agencies,-519.40,
14/05/12,Travel Agencies,-719.02,
14/05/12,Travel Agencies,-4609.49,
15/05/12,Travel Agencies,930.06,
15/05/12,Travel Agencies,1964.05,
15/05/12,Travel Agencies,4353.93,
15/05/12,Travel Agencies,5220.08,
15/05/12,Travel Agencies,4353.93,
15/05/12,Travel Agencies,3027.90,
15/05/12,Travel Agencies,977.89,
15/05/12,Travel Agencies,516.04,
15/05/12,Travel Agencies,-3383.55,
15/05/12,Travel Agencies,516.06,
16/05/12,Travel Agencies,563.95,
16/05/12,Travel Agencies,899.71,
16/05/12,Travel Agencies,1031.04,
16/05/12,Travel Agencies,888.84,
16/05/12,Travel Agencies,3493.04,
16/05/12,Travel Agencies,1982.07,
16/05/12,Travel Agencies,507.48,
16/05/12,Travel Agencies,507.48,
16/05/12,Travel Agencies,507.48,
16/05/12,Travel Agencies,507.48,
